,Country,Mentions
5,Germany,42
27,Japan,33
8,United States,23
2,France,17
7,Italy,14
10,Poland,13
30,China,10
39,India,9
35,Philippines,5
19,Norway,5
24,Libya,5
3,Austria,5
14,Finland,4
43,Israel,4
42,Pakistan,4
21,Greece,4
53,Romania,3
13,Lithuania,3
34,Guam,3
4,Hungary,3
18,Denmark,3
36,Guinea,3
56,Cuba,3
37,Solomon Islands,2
40,United Kingdom,2
38,Australia,2
32,Singapore,2
44,South Africa,2
46,Bangladesh,2
33,Hong Kong,2
11,Estonia,2
22,Albania,2
25,Egypt,2
15,Belgium,2
16,Netherlands,2
57,Canada,2
1,Congo,2
47,Cambodia,2
6,Ukraine,2
12,Latvia,2
49,Ghana,1
55,Mongolia,1
51,Angola,1
59,Afghanistan,1
58,Rwanda,1
54,Bulgaria,1
50,Seychelles,1
52,Mozambique,1
0,Panama,1
48,Kenya,1
45,Papua New Guinea,1
41,Mexico,1
31,Thailand,1
29,Algeria,1
28,Morocco,1
26,Iraq,1
23,Belarus,1
20,Sweden,1
17,Luxembourg,1
9,Spain,1
60,Lebanon,1
