,event,date
0,Timeline of the 20th century,Unknown
1,Infectious disease in the 20th century,Unknown
2,Death rates in the 20th century,Unknown
3,List of battles 1901-2000,Unknown
4,20th century inventions,Unknown
5,20th-century art,Unknown
6,List of 20th-century religious leaders,Unknown
7,UNESCO,28 February 2008
8,The 20th Century Research Project,archived 26 February 2012
9,Slouching Towards Utopia: The Economic History of the Twentieth Century,archived 6 February 2012
10,TIME Archives The greatest writers of the 20th Century,archived 17 January 2005
